#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,World,"610,745,005","+374,759","6,505,482","+1,134","587,974,176","+797,880","16,265,347","42,143","78,353",834.6,,,,All,"
",,,,,
1,China,"245,057",+349,"5,226 ",,"233,604",+320,"6,227",32,170,4,"160,000,000","111,163","1,439,323,776 ",Asia,"5,873","275,416",9,0.2,,4
2,USA,"96,688,916","+25,821","1,073,146 ",+33,"92,602,975","+108,792","3,012,795","3,635",,,"1,102,944,561",, ,North America,,,,,,
3,India,"44,466,862","+4,417","528,030 ",+23,"43,886,496","+6,032","52,336",698,"31,547",375,"887,379,274","629,556","1,409,532,668 ",Asia,32,"2,669",2,3,0.02,37
4,France,"34,596,180","+3,443","154,273 ",+67,"34,086,130","+6,314","355,777",869,"527,479","2,352","271,490,188","4,139,343","65,587,754 ",Europe,2,425,0,52,1,"5,424"
5,Brazil,"34,525,438","+7,668","684,503 ",+76,"33,546,726","+44,279","294,209","8,318","159,953","3,171","63,776,166","295,469","215,847,533 ",South America,6,315,3,36,0.4,"1,363"
6,Germany,"32,297,537","+49,709","147,861 ",+99,"31,447,800","+58,700","701,876","1,406","382,823","1,753","122,332,384","1,450,006","84,366,837 ",Europe,3,571,1,589,1,"8,319"
7,S. Korea,"23,606,740","+37,548","27,149 ",+56,"21,834,203","+178,401","1,745,388",562,"459,586",529,"15,804,065","307,681","51,365,174 ",Asia,2,"1,892",3,731,1,"33,980"
8,UK,"23,521,792",,"188,242 ",,"23,232,131","+8,012","101,419",146,"342,574","2,742","522,526,476","7,610,128","68,661,986 ",Europe,3,365,0,,,"1,477"
9,Italy,"21,944,877","+6,608","175,872 ",+40,"21,179,545","+20,274","589,460",185,"364,119","2,918","243,061,031","4,032,974","60,268,441 ",Europe,3,343,0,110,0.7,"9,781"
10,Russia,"19,771,113","+41,690","384,787 ",+76,"18,777,401","+30,703","608,925","2,300","135,353","2,634","273,400,000","1,871,698","146,070,591 ",Europe,7,380,1,285,0.5,"4,169"
11,Japan,"19,450,222","+105,010","41,054 ",+225,"17,779,534","+159,304","1,629,634",519,"154,816",327,"72,534,842","577,349","125,634,369 ",Asia,6,"3,060",2,836,2,"12,971"
12,Turkey,"16,797,750",,"100,840 ",,"16,628,164","+11,432","68,746",975,"194,612","1,168","162,743,369","1,885,475","86,314,244 ",Asia,5,856,1,,,796
13,Spain,"13,357,047","+1,676","112,894 ",+30,"13,146,560","+6,699","97,593",339,"285,443","2,413","471,036,328","10,066,132","46,794,174 ",Europe,4,414,0,36,0.6,"2,086"
14,Vietnam,"11,420,790","+1,896","43,122 ",+2,"10,232,281","+20,718","1,145,387",144,"115,077",435,"85,826,548","864,798","99,244,627 ",Asia,9,"2,301",1,19,0.02,"11,541"
15,Australia,"10,075,747","+9,020","14,077 ",+10,"9,967,355","+13,611","94,315",89,"385,397",538,"78,590,386","3,006,078","26,143,831 ",Australia/Oceania,3,"1,857",0,345,0.4,"3,608"
